********************************************************************************
*      Signed document issued by Sphere Online Judge  (http://www.spoj.com)      
********************************************************************************

----- BEGIN OF DATA -----
Submissions by [akhiluanandh] in contest [SPOJ].  DoI: 2015-05-30 15:17:24.
/------------------------------------------------------------------------------\
|   ID    |        DATE         |  PROBLEM  |  RESULT   | TIME  |  MEM   | LNG |
|---------|---------------------|-----------|-----------|-------|--------|-----|
| 14336074 | 2015-05-27 19:52:39 |  DCEPC14G |        AC |  0.00 |   2868 | C++ |
| 14336021 | 2015-05-27 19:45:46 |  DCEPC14G |        WA |  0.01 |   2868 | C++ |
| 14335964 | 2015-05-27 19:36:23 |  DCEPC14G |        WA |  0.00 |   2872 | C++ |
| 14335719 | 2015-05-27 19:02:39 |  DCEPC14A |       TLE | -1.00 |  61712 | C++ |
| 14335717 | 2015-05-27 19:01:54 |  DCEPC14A |        CE |  0.00 |      0 | C++ |
| 14335710 | 2015-05-27 19:01:19 |  DCEPC14A |       TLE | -1.00 | 120256 | C++ |
| 14335669 | 2015-05-27 18:54:18 |  DCEPC14A |        WA |  0.02 | 124160 | C++ |
| 14335645 | 2015-05-27 18:51:09 |  DCEPC14A |        WA |  0.02 | 124224 | C++ |
| 14335330 | 2015-05-27 17:59:43 |     PROFF |        AC |  0.00 |   2736 | C++ |
| 14335306 | 2015-05-27 17:55:49 |     PROFF |        WA |  0.00 |   2688 | C++ |
| 14335279 | 2015-05-27 17:50:30 |     PROFF |        WA |  0.00 |   2736 | C++ |
| 14335269 | 2015-05-27 17:48:22 |     PROFF |        WA |  0.00 |   2688 | C++ |
| 14335213 | 2015-05-27 17:41:01 |      ACMT |        AC |  0.00 |   2736 | C++ |
| 14120774 | 2015-04-19 12:10:22 |     FRONT |        AC |  0.20 |  14416 | C++ |
| 14120750 | 2015-04-19 12:07:24 |     FRONT |        AC |  0.25 |   6780 | C++ |
| 14119937 | 2015-04-19 08:48:07 |     FRONT |        WA |  0.00 |   6784 | C++ |
| 14119933 | 2015-04-19 08:47:22 |     FRONT |        CE |  0.00 |      0 | C++ |
| 14119931 | 2015-04-19 08:44:47 |     FRONT |        WA |  0.00 |   3216 | C++ |
| 14119424 | 2015-04-19 05:03:26 |      ODWS |        AC |  0.00 |   2872 | C++ |
| 14119361 | 2015-04-19 04:26:58 |      ODWS |        WA |  0.00 |   2824 | C++ |
| 13364559 | 2015-01-07 05:14:28 |   DSWEETS |        WA |  0.21 |   2820 | C++ |
| 13361676 | 2015-01-06 17:44:46 |      XMEN |        AC |  0.03 |   4252 | C++ |
| 13358188 | 2015-01-06 11:12:11 |   DSWEETS |        WA |  0.20 |   2868 | C++ |
| 13358169 | 2015-01-06 11:10:01 |   DSWEETS |        WA |  0.24 |   2868 | C++ |
| 13358098 | 2015-01-06 11:00:41 |   DSWEETS |        RE |  0.17 |   2736 | C++ |
| 13358075 | 2015-01-06 10:56:18 |   DSWEETS |        WA |  0.01 |   2688 | C++ |
| 13358056 | 2015-01-06 10:54:41 |   DSWEETS |        WA |  0.02 |   2736 | C++ |
| 13357912 | 2015-01-06 10:36:47 |  SAMTWARR |        AC |  0.09 |   5064 | C++ |
| 13357876 | 2015-01-06 10:33:31 |  SAMTWARR |        WA |  0.40 |   5016 | C++ |
| 13356362 | 2015-01-06 07:19:00 |  SAMTWARR |        WA |  0.38 |   5016 | C++ |
| 13356156 | 2015-01-06 06:52:58 |  DCEPC11F |        AC |  0.04 |   8784 | C++ |
| 13346231 | 2015-01-05 05:26:10 |  DCEPC11J |        AC |  0.07 |   3704 | C++ |
| 13346183 | 2015-01-05 05:10:58 |  DCEPC11J |        WA |  0.01 |   3752 | C++ |
| 13346121 | 2015-01-05 04:50:20 |      RPLA |        AC |  0.05 |   2844 | C++ |
| 13346094 | 2015-01-05 04:42:49 |      RPLA |       TLE | -1.00 |   2848 | C++ |
| 13059215 | 2014-12-04 18:34:00 |    SALMAN |        WA |  0.33 |  16496 | C++ |
| 13058023 | 2014-12-04 16:59:03 |    SALMAN |        WA |  0.36 |  16496 | C++ |
| 13055508 | 2014-12-04 13:21:12 |  RIOI_2_3 |        AC |  0.03 |   2836 | C++ |
| 13055486 | 2014-12-04 13:19:26 |  RIOI_2_3 |        WA |  0.00 |   2836 | C++ |
| 13025393 | 2014-12-01 17:09:40 |  RIOI_2_3 |        WA |  0.00 |   2836 | C++ |
| 13025152 | 2014-12-01 16:46:34 |  RIOI_2_3 |        WA |  0.00 |   2836 | C++ |
| 13025044 | 2014-12-01 16:39:24 |  RIOI_2_3 |        WA |  0.00 |   2828 | C++ |
| 13024789 | 2014-12-01 16:18:16 |  RIOI_2_3 |        WA |  0.00 |   2828 | C++ |
| 13024747 | 2014-12-01 16:13:47 |  RIOI_2_3 |        WA |  0.00 |   2828 | C++ |
| 13022931 | 2014-12-01 12:52:39 |  COLORSEG |        AC |  0.00 |   2720 | C++ |
| 12975911 | 2014-11-25 18:56:40 |  CLEANRBT |        AC |  0.24 |   2884 | C++ |
| 12971672 | 2014-11-25 09:15:47 |     WITTY |        AC |  0.91 |   2828 | C++ |
| 12970935 | 2014-11-25 05:47:21 |     WITTY |        WA |  0.07 |   2824 | C++ |
| 12957153 | 2014-11-23 08:42:28 |    CTFLAG |        WA |  0.05 |   2796 | C++ |
| 12956998 | 2014-11-23 08:08:04 |    CTFLAG |        WA |  0.05 |   2796 | C++ |
| 12956994 | 2014-11-23 08:07:08 |    CTFLAG |        CE |  0.00 |      0 | C++ |
| 12954532 | 2014-11-22 19:55:11 |    SACITY |        AC |  2.44 |   6768 | C++ |
| 12954378 | 2014-11-22 19:27:10 |    SACITY |        AC |  2.74 |   7156 | C++ |
| 12954308 | 2014-11-22 19:15:21 |    SACITY |        WA |  0.11 |   4384 | C++ |
| 12947671 | 2014-11-21 21:12:38 |   LCPC12G |        AC | 18.40 |   2876 | C++ |
| 12947522 | 2014-11-21 20:45:36 |   LCPC12C |        AC |  6.53 |  41752 | C++ |
| 12947416 | 2014-11-21 20:25:46 |      QN02 |        AC |  0.56 |   3468 | C++ |
| 12947395 | 2014-11-21 20:22:28 |      QN02 |        AC |  0.56 |   3468 | C++ |
| 12938745 | 2014-11-20 18:25:49 |      PFND |        AC |  0.10 |   5608 | C++ |
| 12933942 | 2014-11-19 22:33:42 |      PFND |        RE |  0.00 |   4944 | C++ |
| 12933927 | 2014-11-19 22:31:12 |      PFND |       TLE | -1.00 |   4944 | C++ |
| 12933921 | 2014-11-19 22:29:55 |      PFND |       TLE | -1.00 |   4944 | C++ |
| 12933914 | 2014-11-19 22:28:44 |      PFND |        RE |  0.00 |   4944 | C++ |
| 12932159 | 2014-11-19 17:54:28 |   PCPC12I |        AC |  0.04 |  14408 | C++ |
| 12932103 | 2014-11-19 17:47:57 |   PCPC12I |        WA |  0.62 |  14408 | C++ |
| 12932078 | 2014-11-19 17:45:05 |   PCPC12I |        WA |  0.56 |  14408 | C++ |
| 12927112 | 2014-11-19 07:03:11 |  PUCMM334 |        AC |  0.00 |   2764 | C++ |
| 12924797 | 2014-11-18 19:19:34 |      PFND |       TLE | -1.00 |   4944 | C++ |
| 12921213 | 2014-11-18 10:40:25 |  ORDERSET |        AC |  1.03 |  16768 | C++ |
| 12918155 | 2014-11-17 21:24:23 |   LCPC12H |        AC |  0.14 |   2852 | C++ |
| 12917871 | 2014-11-17 20:44:12 |    UOFTAD |        AC |  0.72 |   2824 | C++ |
| 12913299 | 2014-11-17 07:28:13 |   CDC12_B |        AC |  0.58 |   5980 | C++ |
| 12913298 | 2014-11-17 07:28:02 |   CDC12_B |        AC |  0.58 |   5980 | C++ |
| 12899273 | 2014-11-15 00:07:09 |   A_W_S_N |        AC |  0.03 |   2884 | C++ |
| 12898109 | 2014-11-14 20:06:13 |     HAP01 |        AC |  0.04 |   2688 | C++ |
| 12898011 | 2014-11-14 19:51:34 |       BWB |        AC |  0.39 |   7084 | C++ |
| 12897993 | 2014-11-14 19:49:21 |       BWB |        WA |  0.38 |   7084 | C++ |
| 12888295 | 2014-11-13 21:04:31 |  AKVQLD03 |        AC |  0.02 |   6592 | C++ |
| 12888288 | 2014-11-13 21:03:35 |  AKVQLD03 |        RE |  0.00 |   3072 | C++ |
| 12888205 | 2014-11-13 20:55:14 |    DBALLZ |        AC |  0.48 |  10512 | C++ |
| 12884332 | 2014-11-13 11:05:45 |    NUMTSN |       TLE | -1.00 |   5328 | C++ |
| 12884305 | 2014-11-13 11:02:11 |    NUMTSN |       TLE | -1.00 |   7836 | C++ |
| 12884270 | 2014-11-13 10:58:12 |    NUMTSN |       TLE | -1.00 |   7836 | C++ |
| 12884240 | 2014-11-13 10:54:20 |    NUMTSN |        CE |  0.00 |      0 | C++ |
| 12882404 | 2014-11-13 03:49:58 |  CURDPROD |        AC |  0.32 |   2724 | C++ |
| 12849120 | 2014-11-08 19:40:04 |  DCEPC705 |        AC |  0.29 |   6880 | C++ |
| 12848241 | 2014-11-08 16:59:15 |    PSAFAC |       100 |  0.00 |   2784 | C++ |
| 12846408 | 2014-11-08 11:10:47 |   INCDSEQ |        AC |  0.33 |   5028 | C++ |
| 12846367 | 2014-11-08 11:01:38 |   INCDSEQ |        WA |  0.36 |   4896 | C++ |
| 12846164 | 2014-11-08 10:20:28 |   NICEDAY |        AC |  0.03 |   4256 | C++ |
| 12843001 | 2014-11-07 21:00:29 |   RRSCHED |        AC |  0.05 |   3864 | C++ |
| 12835533 | 2014-11-07 07:59:15 |  NKMOBILE |        90 |  0.43 |   7412 | C++ |
| 12835199 | 2014-11-07 06:46:24 |     FRSCR |        WA |  0.48 |   2824 | C++ |
| 12835191 | 2014-11-07 06:42:22 |     FRSCR |        WA |  0.25 |   2824 | C++ |
| 12831785 | 2014-11-06 19:15:31 |      GSS4 |        AC |  0.32 |   5644 | C++ |
| 12831760 | 2014-11-06 19:11:48 |      GSS4 |        WA |  3.46 |   5528 | C++ |
| 12831753 | 2014-11-06 19:11:03 |      GSS4 |        CE |  0.00 |      0 | C++ |
| 12831729 | 2014-11-06 19:08:28 |      GSS4 |        WA |  3.39 |   5528 | C++ |
| 12831706 | 2014-11-06 19:06:32 |      GSS4 |        WA |  3.09 |   5524 | C++ |
| 12830954 | 2014-11-06 17:48:53 |   PRMQUER |        AC |  0.84 |  15792 | C++ |
| 12826777 | 2014-11-06 09:32:08 |     FRSCR |        WA |  0.15 |   2824 | C++ |
| 12826582 | 2014-11-06 09:09:12 |     FRSCR |        WA |  0.02 |   2820 | C++ |
| 12826526 | 2014-11-06 09:01:42 |     FRSCR |        WA |  0.02 |   2820 | C++ |
| 12823146 | 2014-11-05 20:00:02 |    DQUERY |        AC |  0.31 |  14848 | C++ |
| 12820471 | 2014-11-05 15:35:02 |   GCJPURE |        AC |  1.33 |   4720 | C++ |
| 12813694 | 2014-11-04 18:51:06 |   PRMQUER |        AC |  0.85 |  15744 | C++ |
| 12813693 | 2014-11-04 18:50:22 |   PRMQUER |        CE |  0.00 |      0 | C++ |
| 12813660 | 2014-11-04 18:46:21 |   PRMQUER |        WA |  3.02 |  15744 | C++ |
| 12813609 | 2014-11-04 18:42:09 |  CNTPRIME |        AC |  0.13 |   3928 | C++ |
| 12813579 | 2014-11-04 18:38:41 |   PRMQUER |        WA |  3.56 |  15744 | C++ |
| 12808218 | 2014-11-04 07:59:15 |    JUMPPY |        AC |  0.05 |   4792 | C++ |
| 12808187 | 2014-11-04 07:54:17 |    JUMPPY |        WA |  0.01 |   4792 | C++ |
| 12804386 | 2014-11-03 18:06:20 |    JUMPPY |        WA |  0.01 |   4792 | C++ |
| 12804357 | 2014-11-03 18:02:27 |    JUMPPY |        WA |  0.01 |   4792 | C++ |
| 12804293 | 2014-11-03 17:53:52 |    JUMPPY |        AC |  0.05 |   4792 | C++ |
| 12804261 | 2014-11-03 17:50:35 |    JUMPPY |        AC |  0.04 |   5184 | C++ |
| 12804228 | 2014-11-03 17:45:24 |    JUMPPY |        AC |  0.21 |   5184 | C++ |
| 12804103 | 2014-11-03 17:29:12 |    JUMPPY |        RE |  0.01 |  13152 | C++ |
| 12804085 | 2014-11-03 17:26:44 |    JUMPPY |        RE |  0.01 |  13152 | C++ |
| 12804058 | 2014-11-03 17:24:12 |    JUMPPY |        RE |  0.02 |  13288 | C++ |
| 12804013 | 2014-11-03 17:18:02 |    JUMPPY |        RE |  0.01 |  12920 | C++ |
| 12802904 | 2014-11-03 15:13:27 |  CNTPRIME |        AC |  0.12 |   3928 | C++ |
| 12802341 | 2014-11-03 14:14:59 |   TRIPINV |        AC |  0.00 |   4836 | C++ |
| 12800820 | 2014-11-03 10:07:37 |   COURAGE |        AC |  0.08 |   5972 | C++ |
| 12799983 | 2014-11-03 08:01:40 |  HORRIBLE |        AC |  0.07 |   4252 | C++ |
| 12799948 | 2014-11-03 07:52:29 |  UPDATEIT |        AC |  0.06 |   3544 | C++ |
| 12799889 | 2014-11-03 07:34:28 |   CDC12_H |        AC |  0.07 |   4404 | C++ |
| 12798417 | 2014-11-03 00:18:06 |    ACPC13 |       TLE | -1.00 |  35256 | C++ |
| 12798326 | 2014-11-02 23:49:57 |  CLZBICYC |        AC |  1.43 |   2844 | C++ |
| 12797739 | 2014-11-02 21:37:22 |  WORDCNT2 |        AC |  2.29 |   9056 | C++ |
| 12797716 | 2014-11-02 21:35:00 |       RKS |        AC |  0.00 |   2828 | C++ |
| 12785137 | 2014-11-01 07:29:25 |  DOUGHNUT |        AC |  0.00 |   2688 | C++ |
| 12783140 | 2014-10-31 21:55:15 |  NPC2014G |        AC |  1.27 |   2688 | C++ |
| 12782072 | 2014-10-31 19:37:38 |     NAJGC |        AC |  0.00 |   2688 | C++ |
| 12782054 | 2014-10-31 19:35:22 |     NAJGC |        RE |  0.00 |   2684 | C++ |
| 12782024 | 2014-10-31 19:31:07 |     NAJGC |        RE |  0.00 |   2684 | C++ |
| 12781927 | 2014-10-31 19:20:14 |     PPBRQ |        AC |  0.19 |   2828 | C++ |
| 12778094 | 2014-10-31 11:00:10 |  NPC2014A |        AC |  0.07 |   2688 | C++ |
| 12761293 | 2014-10-29 15:25:02 |  SUFEQPRE |        AC |  0.11 |   7568 | C++ |
| 12761279 | 2014-10-29 15:23:51 |  SUFEQPRE |       TLE | -1.00 |   6724 | C++ |
| 12761197 | 2014-10-29 15:16:44 |  TULIPNUM |        AC |  0.05 |   3468 | C++ |
| 12761190 | 2014-10-29 15:15:48 |  TULIPNUM |       TLE | -1.00 |   3468 | C++ |
| 12761167 | 2014-10-29 15:13:36 |  TULIPNUM |       TLE | -1.00 |   3508 | C++ |
| 12760949 | 2014-10-29 14:52:11 |     NAJPF |        AC |  0.47 |   6728 | C++ |
| 12760526 | 2014-10-29 14:09:29 |    NAJPFC |        AC |  0.02 |   5608 | C++ |
| 12760275 | 2014-10-29 13:41:56 |     NAJHQ |        AC |  0.16 |   3544 | C++ |
| 12759648 | 2014-10-29 12:09:07 |    NUMTSN |        WA |  1.52 |   7836 | C++ |
